linkID,Standard,German,English,FNameAbbr,ParentFirm,FirmNote
1,A. Schultze Jr.,A. Schultze Jr.,,,3.0,
2,Ackermann,Ackermann,,,,
3,AEG Kabelwerke Oberspree,AEG Kabelwerke Oberspree,,,9.0,
4,AG Bergbau- und Hüttenbedarf,AG Bergbau- und Hüttenbedarf,,,402.0,
5,Agfa Kamerawerke,Agfa Kamerawerke,,,,
6,Aircraft Research Institute,,Aircraft Research Institute,,,
7,"Battery Manufacturing, Inc.",Akkumulatorenfabrik AG,"Battery Manufacturing, Inc.",AFA,,
8,Allgäu Cotton Mill Ltd.,,Allgäu Cotton Mill Ltd.,,,
9,German General Electric Co.,Allgemeine Elektrizitäts-Gesellschaft,German General Electric Co.,AEG,,
10,Allgemeine Transportanlagen GmbH,Allgemeine Transportanlagen GmbH,,,,
11,Aloys Haase,Aloys Haase,,,,
12,Alpine Montanbetriebre,Alpine Montanbetriebre,,,,
13,Amt W III of WVHA,Amt W III of WVHA,,,,
14,Annaburger Gerätebau GmbH,Annaburger Gerätebau GmbH,,,,
15,Anorgana GmbH,Anorgana GmbH,,,233.0,
16,Anorgana GmbH Gendorf,Anorgana GmbH Gendorf,,,233.0,
17,Anschutz und Co.,Anschutz und Co.,,,,
18,Arado Airplane Factory,Arado Airplane Factory,,,,
19,Arbeitsgemeinschaft Wilhelm Beck-Alfred Kohler,Arbeitsgemeinschaft Wilhelm Beck-Alfred Kohler,,,,
20,Argo Waldenburg,Argo Waldenburg,,,,
21,Artur Becker Tiefbau AG,Artur Becker Tiefbau AG,,,,
22,Askania-Werke AG,Askania-Werke AG,,,,
23,Astrawerke AG,Astrawerke AG,,,,
24,Auer Co.,Auer Co.,,,,
25,August Gahringer Enterprise,August Gahringer Enterprise,,,,
26,Auto Union AG,Auto Union AG,,,,
27,Auto-Hanzel,Auto-Hanzel,,,,
28,Bahnmeisterei,Bahnmeisterei,,,,
